"Age ","Sex ","Program of study","College","Level Study","Branch","Have a job","Attending method prefer more","experience in handling e-Learning platform tools","total number of lectures prefer to attend daily ","frequently contact instructor to ask inquiries ","motivated using the interfaces of the e-Learning Platform? ","interested in revising the recorded lectures on the e-Learning platform ","preferred level of interactivity type ","","Type of assessment activity preferred most? ","Preferred  semantic density (amount of content) displayed in a single power point slide","Preferred electronic device to access the course contents","Preferred background color for your e-Learning platform? ","Preferred text color for your course text contents? ","learning resource preferred most"
"20","2","8","3","4","1","1","3","2","3","2","3","3","3","","5","2","2","4","3","1"
"21","2","10","4","3","4","1","2","2","3","2","3","3","2","","5","2","2","5","1","2"
"20","2","5","2","3","1","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"20","2","8","3","4","4","2","2","2","3","2","3","3","3","","5","2","2","3","1","1"
"24","2","11","4","4","6","1","3","2","3","2","1","3","2","","1","2","2","3","1","1"
"20","2","2","1","3","4","2","2","2","3","2","3","3","2","","5","1","2","3","1","1"
"22","2","4","1","3","4","2","2","2","3","2","3","1","2","","1","2","2","3","1","1"
"22","2","1","1","4","4","1","2","2","3","2","3","3","1","","5","2","2","3","1","1"
"23","2","1","1","3","4","2","2","1","3","1","1","3","2","","5","2","2","3","1","1"
"24","2","2","1","5","6","1","2","2","3","2","3","3","2","","5","2","2","3","1","1"
"25","2","16","3","9","4","1","2","2","2","1","3","3","1","","5","2","2","3","1","1"
"22","2","1","1","5","6","2","2","2","3","2","3","3","2","","1","1","3","3","2","2"
"21","2","11","4","4","6","2","2","2","3","2","3","1","3","","2","1","2","3","4","6"
"23","2","1","1","5","6","2","2","2","3","2","3","3","2","","5","2","2","3","1","1"
"23","2","1","1","5","4","2","2","2","3","2","3","3","2","","5","2","2","3","1","1"
"21","2","8","3","4","3","1","2","2","3","2","3","1","3","","2","1","2","3","4","2"
"21","2","10","4","4","6","2","2","2","3","2","3","3","2","","2","2","2","3","1","1"
"24","2","3","1","5","1","1","2","2","3","2","1","3","3","","2","2","3","4","3","2"
"22","2","3","1","5","4","1","3","2","3","2","3","1","2","","1","2","2","3","1","2"
"23","2","8","3","5","3","2","2","2","3","2","2","3","3","","1","2","1","3","1","7"
"23","2","10","4","6","6","2","2","2","3","2","3","3","3","","1","2","2","3","4","6"
"24","2","1","1","4","5","1","2","2","3","2","3","3","2","","5","2","2","3","2","2"
"25","2","16","1","9","4","1","2","2","2","2","3","3","2","","5","2","2","3","1","2"
"21","2","3","1","4","6","2","2","2","3","2","3","3","3","","2","2","2","3","2","2"
"23","2","4","1","7","4","1","2","2","3","2","3","3","2","","2","2","2","3","1","2"
"23","2","2","1","4","6","1","2","2","3","2","3","3","2","","1","2","2","3","1","2"
"20","2","4","1","4","4","2","2","2","3","2","3","3","3","","1","2","2","3","1","2"
"22","2","2","1","5","3","2","2","2","3","2","3","3","3","","2","2","3","3","1","1"
"23","2","2","1","3","6","1","3","1","2","2","3","3","2","","1","1","2","4","3","2"
"22","2","7","2","5","6","1","2","2","3","2","3","3","3","","5","2","2","3","2","2"
"23","2","3","1","4","4","1","2","2","3","2","3","3","2","","5","2","2","3","1","2"
"21","2","4","1","4","4","1","2","2","3","2","1","3","3","","2","2","2","3","1","1"
"25","2","14","2","9","4","1","2","2","2","2","3","3","2","","5","2","2","3","1","2"
"23","2","4","1","6","5","1","2","2","3","2","3","3","3","","1","2","2","3","1","2"
"22","2","3","1","6","4","1","2","2","3","2","3","3","2","","2","1","2","3","4","2"
"21","2","4","1","5","4","2","2","2","4","2","3","3","2","","2","2","2","3","1","2"
"21","2","2","1","3","6","1","2","2","3","2","3","3","2","","1","2","2","3","1","2"
"22","2","1","1","3","6","2","2","2","3","2","3","3","3","","1","2","2","3","1","2"
"22","2","3","1","4","4","2","2","2","3","2","3","3","3","","1","2","2","3","1","2"
"24","2","4","1","5","6","1","2","2","3","2","3","3","2","","5","2","2","3","1","2"
"23","2","3","1","3","1","2","2","2","3","2","3","3","2","","1","2","2","3","2","2"
"34","1","5","2","4","7","1","3","1","3","2","3","3","2","","5","2","3","3","1","6"
"21","2","8","3","4","7","2","2","2","3","2","3","1","2","","5","2","2","3","1","6"
"20","2","5","2","4","7","2","3","2","3","2","3","3","2","","1","2","2","3","1","2"
"21","2","7","3","5","7","1","2","2","3","2","3","3","3","","2","2","3","3","2","6"
"21","2","1","1","7","4","2","2","2","3","2","3","3","3","","1","2","2","3","1","2"
"20","2","3","1","4","4","2","3","2","3","2","3","3","2","","1","2","2","3","1","2"
"22","2","3","1","4","6","2","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"21","2","5","2","4","6","1","2","2","3","2","3","3","2","","1","2","2","3","1","2"
"23","2","14","2","9","4","1","2","2","2","2","3","3","2","","1","2","2","3","2","2"
"21","2","5","2","3","3","2","2","2","3","1","1","3","3","","1","2","2","3","1","2"
"20","2","8","3","4","7","2","2","2","3","2","3","3","3","","1","2","2","3","1","2"
"20","2","2","1","5","6","2","2","1","3","2","3","3","3","","1","2","2","3","3","1"
"21","2","8","3","6","6","2","2","2","3","2","3","3","3","","1","2","2","3","1","1"
"22","2","4","1","7","4","1","2","2","3","2","3","1","2","","1","1","2","3","4","2"
"22","2","4","1","5","7","1","2","1","3","2","3","3","2","","1","2","2","3","2","1"
"21","2","3","1","4","7","2","2","2","3","2","3","1","2","","1","1","2","3","1","1"
"20","2","1","1","4","3","2","2","2","3","1","3","3","3","","1","2","2","3","1","1"
"26","1","7","3","3","7","1","1","1","3","2","3","3","2","","7","1","1","3","11","1"
"30","1","7","3","3","7","1","3","1","5","2","1","2","3","","1","2","2","3","1","1"
"40","1","7","3","3","7","1","3","1","5","2","1","1","2","","4","2","2","3","11","1"
"36","1","7","3","3","7","1","2","2","3","2","3","3","3","","6","2","2","3","1","1"
"26","1","7","2","3","7","1","1","2","3","2","3","3","2","","7","2","1","3","11","1"
"27","1","5","2","7","7","2","1","2","5","3","2","2","2","","6","2","2","5","1","6"
"28","1","5","2","7","7","1","3","1","4","2","1","1","1","","4","2","2","3","1","1"
"33","1","5","2","8","7","1","2","2","4","2","1","3","2","","6","1","1","2","11","7"
"36","1","5","2","7","7","1","3","1","5","2","3","3","2","","4","2","2","3","1","2"
"21","1","5","2","7","7","2","3","1","4","2","3","1","1","","2","2","2","3","1","2"
"36","1","5","2","7","7","1","2","2","2","2","3","2","3","","4","2","2","1","3","7"
"25","1","5","2","8","7","2","2","1","4","1","1","1","1","","6","2","3","1","11","1"
"41","1","5","2","8","7","1","2","1","3","2","1","1","1","","6","1","2","3","1","6"
"19","1","5","2","3","7","1","2","3","1","3","2","3","1","","4","3","1","1","3","7"
"19","1","5","2","3","7","2","2","1","3","2","3","3","2","","4","2","2","1","3","7"
"27","1","5","2","3","7","1","1","1","4","2","2","3","2","","5","2","2","3","2","7"
"21","1","5","2","3","7","1","2","1","3","2","3","3","4","","1","2","2","3","1","2"
"35","1","5","2","8","7","1","3","1","5","2","3","3","2","","7","2","2","3","2","7"
"26","2","13","2","9","6","2","2","2","4","2","3","1","2","","2","2","2","5","1","8"
"22","2","8","3","6","7","1","2","2","3","2","3","3","2","","5","2","2","3","1","8"
"23","2","13","2","9","7","1","2","2","2","2","3","3","2","","5","1","3","3","2","2"
"36","1","5","2","7","7","1","3","1","5","2","3","3","2","","4","2","2","3","1","2"
"22","2","5","2","7","7","2","2","2","3","2","3","1","3","","1","2","2","3","1","1"
"25","2","14","2","9","7","1","2","1","2","2","3","3","2","","1","2","2","3","2","2"
"23","1","5","2","4","7","1","2","1","3","1","1","1","2","","1","1","2","3","2","1"
"23","1","6","2","4","7","1","2","2","3","2","3","3","4","","1","2","4","3","1","1"
"25","1","5","2","4","7","1","2","2","3","2","3","1","3","","1","2","2","3","1","1"
"31","1","5","2","4","7","1","3","2","4","2","3","3","2","","4","2","3","2","10","2"
"30","1","5","2","4","7","1","2","2","4","2","3","3","3","","6","2","2","2","3","1"
"35","1","5","2","4","7","1","1","1","6","2","3","1","1","","4","2","2","3","1","5"
"25","2","15","2","5","1","1","3","2","5","2","3","1","2","","4","2","2","3","11","5"
"30","2","14","2","1","6","1","3","2","2","1","1","2","1","","2","2","2","3","1","1"
"28","2","5","2","9","6","1","2","1","2","2","1","1","1","","7","2","2","3","11","4"
"40","1","5","2","8","7","1","3","2","2","2","3","3","2","","6","2","2","10","1","5"
"25","1","5","2","7","7","1","3","1","5","2","3","1","2","","4","2","1","1","2","1"
"26","1","5","1","3","7","1","3","1","4","2","3","1","2","","2","2","2","1","3","2"
"25","1","5","1","3","7","1","3","2","4","2","3","1","2","","2","2","3","1","11","7"
"36","1","5","2","3","7","1","3","1","4","2","3","1","2","","2","2","3","3","11","5"
"30","1","11","4","3","7","1","3","1","6","1","1","1","1","","1","1","2","3","1","1"
"36","1","7","3","6","7","1","3","2","2","2","3","1","2","","1","2","2","3","11","1"
"20","2","5","2","4","7","2","3","2","3","2","3","3","2","","5","2","2","3","1","1"
"21","2","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","2","3","2","1"
"22","2","5","2","3","7","2","3","2","3","2","3","3","2","","5","2","2","3","4","1"
"22","2","5","2","4","7","1","2","2","3","1","3","3","3","","1","2","2","3","2","1"
"24","2","14","2","9","7","1","2","1","2","1","3","3","2","","5","2","2","3","1","2"
"24","2","14","2","9","7","1","2","2","2","2","1","3","2","","5","1","2","3","2","1"
"25","2","14","2","9","7","1","2","2","2","2","1","3","2","","5","1","2","3","6","1"
"23","2","14","2","9","7","1","2","2","2","2","3","3","2","","1","2","2","3","2","1"
"26","2","14","2","9","4","1","2","2","2","2","1","3","2","","1","1","2","3","6","6"
"24","2","14","2","9","4","1","2","2","2","2","3","3","3","","1","1","3","3","7","1"
"26","2","14","2","9","6","1","2","2","2","2","1","3","2","","1","1","2","3","2","1"
"25","2","16","3","9","7","1","2","2","2","2","3","3","2","","1","1","2","3","6","1"
"20","2","3","1","3","7","2","2","2","3","1","3","1","2","","1","2","2","3","1","1"
"20","2","3","1","4","7","2","2","2","3","2","3","3","3","","2","2","2","3","2","1"
"23","2","5","2","5","7","2","2","2","3","2","3","3","3","","1","2","2","3","4","1"
"30","1","5","2","5","7","1","2","2","3","2","3","3","3","","1","2","2","3","1","1"
"31","1","12","1","9","7","1","2","2","2","2","3","3","3","","5","2","2","3","2","1"
"35","1","14","2","9","7","1","3","2","2","2","1","1","2","","5","2","2","3","1","6"
"25","2","16","3","9","4","1","2","2","2","1","1","1","3","","1","2","2","3","1","1"
"23","2","7","3","5","7","1","2","2","3","2","1","3","3","","5","2","2","3","2","1"
"25","2","17","4","9","7","1","2","2","2","2","3","3","3","","1","2","2","3","2","1"
"25","1","7","3","4","7","1","2","2","3","2","3","3","3","","1","1","2","3","2","1"
"29","1","9","4","6","7","1","3","2","2","2","1","1","3","","5","2","2","3","1","1"
"32","1","16","3","9","7","1","2","2","2","2","1","3","3","","1","2","2","3","1","1"
"30","2","16","3","9","7","1","2","2","2","2","1","3","3","","1","1","2","3","1","1"
"22","2","5","2","4","7","2","2","2","3","2","3","3","2","","1","2","2","3","2","1"
"34","1","12","1","9","7","1","3","2","2","2","1","3","3","","5","2","2","3","1","1"
"30","2","16","3","9","6","1","2","2","2","2","1","1","3","","1","1","2","3","1","1"
"25","1","9","4","4","3","1","2","2","5","2","3","1","3","","5","1","3","3","1","1"
"30","1","8","3","5","7","1","2","2","3","2","3","3","3","","1","2","2","3","1","1"
"31","1","14","2","9","7","1","2","1","2","2","1","3","2","","1","1","2","3","1","2"
"24","2","9","4","6","4","1","2","2","3","2","3","3","3","","1","2","2","3","2","1"
"32","1","1","1","7","7","1","2","1","3","2","3","3","3","","1","2","2","3","1","1"
"31","1","11","4","4","6","1","3","2","3","2","3","3","3","","1","2","2","3","1","1"
"33","1","12","1","9","7","1","2","2","2","2","3","3","3","","5","1","2","3","2","1"
"35","1","5","2","4","7","1","2","2","3","2","1","1","3","","1","1","3","3","6","1"
"21","1","7","2","5","6","2","2","2","3","1","3","3","2","","1","1","2","3","1","1"
"36","1","14","2","9","7","1","2","1","2","2","1","1","2","","5","1","2","3","1","2"
"33","1","12","1","9","4","1","2","2","2","2","1","1","3","","1","2","2","3","1","1"
"26","2","7","3","5","7","2","2","2","3","1","1","3","3","","1","2","1","3","1","1"
"35","1","5","2","7","7","1","2","2","3","1","3","3","3","","1","1","2","3","1","1"
"28","1","8","1","4","4","1","2","2","3","2","3","1","3","","1","1","2","3","1","1"
"24","2","5","2","5","7","1","2","1","3","1","1","3","3","","1","1","2","3","2","1"
"25","2","8","3","6","7","1","2","2","3","2","3","1","4","","1","2","2","3","1","1"
"30","2","14","2","9","4","1","2","2","2","1","3","1","2","","5","2","2","3","1","2"
"24","2","5","2","4","7","1","2","2","3","2","3","3","3","","2","2","2","3","2","2"
"27","2","14","2","9","4","1","2","2","2","2","3","3","3","","1","1","2","3","1","1"
"24","2","4","1","4","1","2","2","2","2","1","3","1","3","","1","2","2","3","1","1"
"30","1","11","4","6","7","1","2","2","3","1","1","1","3","","1","1","2","3","2","2"
"30","2","16","3","9","7","1","2","1","2","2","1","3","2","","1","1","2","3","1","1"
"28","2","12","1","9","7","1","2","2","2","2","3","3","3","","1","2","2","3","1","1"
"27","2","12","1","9","7","1","2","2","2","1","3","3","3","","1","1","2","3","1","1"
"25","1","5","2","5","3","1","2","2","3","1","1","1","3","","1","1","2","3","1","1"
"31","1","12","1","9","4","1","2","2","3","1","1","1","3","","1","1","2","3","2","1"
"27","1","5","2","4","7","2","2","2","3","2","1","1","3","","1","1","2","3","1","1"
"25","1","5","2","6","4","1","2","2","3","2","3","3","2","","1","1","2","3","2","2"
"28","1","3","1","5","3","1","2","2","3","2","3","3","3","","1","1","2","3","1","1"
"33","1","1","1","1","1","1","3","1","1","2","3","3","4","","7","3","4","3","1","8"
"34","1","5","2","6","7","1","3","1","3","2","3","2","4","","1","2","2","2","3","2"
"30","1","5","2","7","7","1","3","1","4","2","1","1","1","","1","1","2","3","1","1"
"31","1","5","2","7","7","1","2","1","3","2","3","1","2","","2","2","2","3","1","2"
"46","1","5","2","7","7","1","3","1","3","1","1","1","1","","6","2","2","1","3","7"
"41","1","5","2","7","7","1","2","1","4","2","3","3","2","","1","2","2","2","1","2"
"37","1","5","2","7","7","1","3","1","3","3","1","3","3","","7","3","4","3","1","6"
"41","1","5","2","7","7","1","2","1","6","2","3","1","2","","1","2","2","3","1","6"
"37","1","5","2","7","7","1","2","1","3","2","1","3","2","","2","2","2","3","5","6"
"28","1","5","2","6","7","1","3","1","3","2","1","1","2","","4","2","2","2","1","1"
"29","1","5","2","7","7","1","3","1","3","3","2","2","2","","1","2","2","10","1","5"
"31","1","5","2","7","7","1","2","1","3","2","3","1","2","","2","2","2","3","1","2"
"31","1","5","2","7","7","1","1","1","4","2","1","1","2","","1","2","2","4","4","2"
"22","1","5","2","6","7","2","1","1","5","2","3","3","2","","3","1","2","1","3","1"
"24","1","14","2","9","7","1","2","2","2","2","1","1","1","","6","2","2","3","2","1"
"31","1","14","2","9","7","1","2","2","2","2","1","1","2","","5","2","2","3","1","2"
"29","1","5","2","7","7","1","2","1","4","2","3","1","2","","1","2","2","3","1","1"
"31","1","5","2","8","7","1","3","1","4","2","1","1","2","","6","2","2","3","3","2"
"29","1","14","2","9","7","1","2","1","2","2","1","3","2","","6","2","2","3","2","1"
"32","1","6","2","7","7","2","2","1","5","2","1","1","3","","1","2","2","3","2","1"
"27","1","5","2","7","7","1","2","1","3","2","3","3","3","","2","3","2","3","11","6"
"28","1","14","2","9","7","1","2","2","2","2","1","3","2","","6","2","2","3","4","2"
"34","1","5","2","6","7","1","3","1","3","2","3","3","4","","1","2","2","2","3","2"
"33","1","14","2","9","7","1","3","2","2","2","1","3","1","","6","2","2","3","1","2"
"42","1","5","2","8","7","1","2","1","3","2","3","1","1","","6","1","2","3","1","6"
"41","1","5","2","7","7","1","2","1","6","2","1","1","2","","1","2","2","3","1","6"
"34","1","14","2","9","7","1","2","2","2","2","1","1","2","","6","2","2","3","2","8"
"32","1","5","2","7","7","1","3","1","2","2","1","3","3","","4","2","2","10","1","1"
"32","2","5","2","8","4","1","2","1","4","1","1","1","2","","2","2","2","3","1","1"
"41","1","5","2","7","7","1","2","2","4","2","3","3","2","","1","2","2","2","1","2"
"32","1","5","2","8","7","1","2","1","4","2","1","1","3","","1","1","2","2","3","7"
"32","1","14","2","9","7","1","2","2","2","2","3","3","2","","6","2","2","3","1","2"
"23","1","5","2","7","7","2","3","2","4","2","2","1","3","","2","2","3","1","3","7"
"37","1","5","2","7","7","1","2","1","7","2","1","3","2","","7","1","1","3","1","6"
"29","1","5","2","8","7","1","3","1","4","2","2","3","2","","1","2","2","3","2","8"
"33","1","14","2","9","7","1","2","2","2","1","3","1","1","","1","2","2","3","1","1"
"23","1","5","2","8","7","1","3","2","4","2","1","3","2","","6","2","2","1","3","1"
"35","1","14","2","9","7","1","2","2","2","2","3","1","2","","5","2","2","3","1","8"
"27","2","5","2","7","4","2","2","2","3","1","3","1","2","","2","2","2","3","1","2"
"26","1","5","2","7","4","1","2","1","5","2","1","1","1","","1","1","2","1","3","7"
"21","2","5","2","6","7","2","2","1","5","1","1","1","1","","2","2","2","3","1","7"
"28","2","5","2","7","7","1","3","1","4","1","3","1","2","","6","1","2","3","1","2"
"27","1","5","2","7","4","1","3","1","6","1","1","2","1","","7","2","2","3","1","8"
"38","1","7","3","8","7","2","3","1","5","2","3","3","4","","1","2","4","1","1","1"
"36","1","5","2","7","4","1","3","1","4","2","3","3","1","","6","3","2","1","1","2"
"22","1","5","2","5","7","1","2","1","3","2","3","1","3","","1","2","2","3","1","1"
"24","1","5","2","5","7","1","2","2","3","2","3","1","3","","5","1","2","3","2","1"
"25","1","5","2","5","7","1","2","2","3","2","1","1","2","","5","1","2","3","1","1"
"26","1","5","2","5","7","1","2","2","2","2","3","3","2","","1","2","2","3","1","1"
"25","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"26","1","5","2","5","7","1","2","2","3","1","1","3","2","","1","2","2","3","1","1"
"27","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","2","1"
"24","1","5","2","5","7","1","2","2","3","2","3","1","2","","1","1","2","3","1","1"
"28","1","5","2","5","7","1","2","2","3","2","3","3","2","","5","2","3","3","1","1"
"30","1","5","2","5","7","1","2","2","3","2","3","3","3","","1","2","2","3","1","2"
"32","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"26","1","5","2","5","7","1","2","2","3","1","1","1","2","","1","2","2","3","1","3"
"32","1","5","2","5","7","1","2","2","3","2","1","3","3","","1","2","2","3","2","1"
"36","1","5","2","7","4","1","3","1","4","2","3","3","1","","6","3","2","1","1","2"
"24","1","5","2","4","7","1","2","2","2","2","3","3","2","","1","2","1","1","3","5"
"27","1","5","2","4","7","2","3","2","2","2","3","1","1","","4","2","1","1","3","2"
"28","1","5","2","4","7","1","1","2","3","2","3","1","2","","2","2","2","2","1","2"
"20","1","5","2","4","7","2","1","1","6","2","3","1","2","","6","2","1","1","3","1"
"23","1","5","2","4","7","1","2","2","6","2","3","3","4","","4","2","1","3","1","7"
"28","1","5","2","4","7","1","2","2","6","2","1","1","1","","6","1","2","3","1","1"
"33","1","5","2","4","7","1","2","1","5","2","3","3","2","","2","1","2","1","1","2"
"28","1","5","2","4","7","1","2","3","2","3","2","3","2","","2","2","3","2","1","1"
"27","1","6","2","4","7","1","2","1","6","2","1","1","3","","4","2","3","11","1","6"
"21","1","5","2","4","7","2","2","1","4","2","3","3","3","","2","2","2","2","2","1"
"29","1","5","2","4","7","1","3","2","2","2","3","2","2","","1","2","2","3","1","2"
"37","1","5","2","4","7","1","2","1","6","3","1","1","2","","1","2","2","3","1","6"
"33","1","5","2","4","7","1","2","1","4","2","1","3","2","","4","2","2","11","1","1"
"22","1","5","2","4","7","1","2","2","1","2","3","3","4","","7","2","2","1","1","4"
"33","1","5","2","4","7","2","3","1","5","2","3","3","2","","1","2","2","1","3","1"
"32","1","5","2","4","7","1","3","2","4","2","3","3","3","","1","2","2","3","1","2"
"32","1","5","2","5","7","1","3","2","3","2","3","1","3","","1","2","3","1","3","6"
"33","1","5","2","4","7","1","1","1","4","2","1","1","1","","1","2","2","2","4","6"
"36","1","7","3","5","7","1","2","1","3","2","1","1","1","","1","3","4","2","1","1"
"40","2","5","2","4","7","1","2","1","3","1","1","1","4","","1","3","2","3","1","2"
"21","1","5","2","4","7","2","2","1","4","2","3","1","2","","1","2","4","3","1","4"
"36","1","5","2","4","7","1","2","1","5","2","3","1","2","","4","2","3","11","11","5"
"27","2","5","2","4","7","2","2","1","3","2","3","3","4","","7","2","1","3","1","1"
"21","2","5","2","5","7","2","2","1","3","2","3","3","1","","2","2","3","1","3","6"
"30","2","5","2","4","7","2","2","1","4","1","1","1","3","","1","2","2","3","1","1"
"24","1","5","2","4","7","1","2","2","3","2","3","3","2","","1","2","1","3","1","1"
"25","1","5","2","4","7","1","3","2","3","2","3","3","2","","1","2","2","3","2","1"
"24","1","5","2","4","7","1","2","2","3","2","3","1","2","","1","2","2","3","1","2"
"27","1","5","2","7","4","1","3","1","6","1","1","2","1","","7","2","2","3","1","8"
"20","2","5","2","6","7","2","1","1","4","2","3","3","2","","6","2","2","3","1","1"
"24","2","5","2","4","4","2","1","1","5","2","3","3","2","","6","2","2","3","2","7"
"29","2","5","2","6","1","2","2","1","4","1","3","3","2","","5","2","3","1","3","8"
"25","2","5","2","6","6","2","2","1","4","2","3","1","2","","1","2","2","3","11","6"
"33","2","5","2","4","3","2","1","2","3","2","1","1","1","","6","2","2","1","2","6"
"32","2","5","2","6","1","2","2","1","4","2","1","3","1","","1","2","2","11","3","6"
"20","1","5","2","5","7","1","3","2","4","2","3","1","2","","5","2","2","3","1","2"
"22","1","5","2","5","7","1","2","1","3","3","1","2","2","","4","3","2","1","3","6"
"28","1","5","2","4","4","1","3","1","2","2","3","1","1","","1","2","2","3","1","3"
"35","1","5","2","5","7","1","3","1","4","2","1","1","2","","6","2","2","11","1","3"
"41","1","5","2","6","7","1","3","1","4","2","3","2","3","","4","2","3","2","11","1"
"38","2","5","2","5","1","2","2","1","4","2","1","3","4","","6","1","2","3","1","1"
"20","2","5","2","4","7","2","2","2","5","2","3","3","3","","2","2","2","3","1","1"
"33","1","5","2","5","7","1","3","1","6","2","3","1","1","","4","2","1","1","3","6"
"27","1","5","2","6","2","1","3","1","2","2","3","3","2","","1","2","2","3","2","6"
"29","1","5","2","6","6","1","2","2","2","3","3","3","1","","1","2","1","3","1","5"
"22","2","5","2","4","3","2","3","1","5","3","2","3","1","","2","2","4","1","3","5"
"20","1","5","2","4","6","2","1","1","4","2","2","1","2","","1","2","2","10","1","2"
"31","2","5","2","5","4","2","3","1","5","2","1","1","3","","2","2","2","2","3","5"
"33","1","5","2","6","7","1","3","1","3","2","3","1","2","","4","2","3","3","2","5"
"31","2","5","2","6","6","2","3","1","4","3","1","3","1","","3","1","2","1","10","5"
"24","1","5","2","7","4","1","1","1","2","2","2","2","1","","1","2","1","11","11","2"
"43","2","5","2","6","7","1","3","1","1","3","3","3","1","","3","3","2","3","1","6"
"30","1","5","2","4","7","1","2","1","1","2","3","1","3","","4","2","4","11","11","7"
"24","2","5","2","3","7","2","2","2","2","2","3","1","4","","1","3","4","1","1","2"
"32","1","6","2","7","6","1","3","1","4","3","2","3","2","","1","2","2","11","11","5"
"32","1","5","2","5","7","1","2","1","1","3","1","2","1","","1","2","2","3","2","6"
"29","1","5","2","3","1","2","2","1","4","1","1","1","3","","1","1","2","3","5","2"
"19","2","5","2","4","3","2","1","1","6","3","3","3","1","","3","2","2","3","2","5"
"27","2","5","2","5","1","2","2","1","3","2","1","1","1","","4","2","4","3","1","5"
"26","1","5","2","5","7","1","2","1","4","2","1","1","3","","2","2","3","3","3","6"
"20","2","5","2","3","7","2","3","1","5","1","1","1","3","","1","1","4","3","1","2"
"21","2","5","2","4","6","2","3","2","3","3","2","1","2","","1","3","1","1","1","7"
